id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason
989031567,385,"thanks for patience with this, looks excellent :+1:",1,1,1,0.9908213019371032,0.994731307029724,0.9970505237579346,1.0,accept,unanimous_agreement
15759830,139,"i was reading up, trying to understand the situation and seen mentioned several times using `withcredentials` which seems to get the browser to supply the cookie. is this something you have tried? also there is a very long pr about what i think is the same issue and non-cookie session id is discouraged: [a link]",-1,0,0,0.534856379032135,0.5473756790161133,0.9845447540283204,0.0,accept,majority_agreement
43318834,158,this looks good and minor enough for 1.3 inclusion. if possible could you create a pr for `develop` branch as well? thanks,1,1,1,0.9770680665969848,0.9853026866912842,0.9894447922706604,1.0,accept,unanimous_agreement
43320996,158,i'll implement your changes after your feedback about __eq__ then i can open another pr in develop branch,0,0,0,0.9725645184516908,0.9814090728759766,0.9925848841667176,0.0,accept,unanimous_agreement
2261375229,460,"this is a nice addition, just a few small changes",1,1,1,0.9526933431625366,0.9825185537338256,0.9879077076911926,1.0,accept,unanimous_agreement
175125029,226,seems to be issue with x86 more so than x64(pywin32),0,0,0,0.974526584148407,0.9849476218223572,0.976050078868866,0.0,accept,unanimous_agreement
892299224,380,if we are adding a deluged user service then we should also add a deluge-web user service,0,0,0,0.9830586910247804,0.993386447429657,0.9932645559310912,0.0,accept,unanimous_agreement
1449485142,404,"looks good, just a few questions and suggestions",1,1,1,0.8695050477981567,0.9173228144645692,0.9068785309791564,1.0,accept,unanimous_agreement
4652473,112,there are two separate issues but the commits are not distinct and need some description of changes. also the web test changes should be in a seperate commit. this will need backporting to 1.3 so a concise commit is more helpful to merge.,0,0,0,0.9831957221031188,0.9894202947616576,0.9926182627677916,0.0,accept,unanimous_agreement
125608270,187,"there are changes to listen_interface logic with no justification, it is a comma-separated list of ip port-pairs. there is no mention in libtorrent of otherwise. also the deliberate logic to not allow ip address for outgoing_interface (on non-windows) should not be removed!",0,0,0,0.9709621667861938,0.9087804555892944,0.9868285059928894,0.0,accept,unanimous_agreement
137261636,203,an excellent solution! :),1,1,1,0.9942183494567872,0.9958575367927552,0.9968565702438354,1.0,accept,unanimous_agreement
844658948,332,we can just replace with `message` attribute since `exception_msg` was removed with changes to rpc protocol: 9b812a4eec6205b98,0,0,0,0.9889265298843384,0.9950085878372192,0.9950769543647766,0.0,accept,unanimous_agreement
